-43-DB  :Shenzhen ViewAt Technology Co.,Ltd. 
-05-F5  :Integrated Device Technology (Malaysia) Sdn. Bhd.
-30-33  :NETGEAR
-D9-2B  :Hewlett Packard
-8E-99  :Hewlett Packard
-99-BA  :Hewlett Packard
-C1-DE  :Hewlett Packard
-35-56  :Cognitec Systems GmbH
-50-BA  :D-Link Corporation
-17-9A  :D-Link Corporation
-BD-B9  :D-Link International
-94-E4  :D-Link International
-10-7B  :D-Link International
-7E-E5  :D-Link International
-A8-1D  :D-Link International
-62-2C  :Sagemcom Broadband SAS
-03-D8  :Sagemcom Broadband SAS
-F1-B0  :Sagemcom Broadband SAS
-F8-71  :DGS Denmark A/S
-BB-76  :COL GIOVANNI PAOLO SpA
-22-8B  :CTR SRL
-8A-AE  :Sagemcom Broadband SAS
-EC-23  :SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
-E7-48  :Private
-06-C7  :ServerNet S.r.l.
-46-D6  :Cisco Systems, Inc
-AD-08  :HUAWEI TECHNOLOGIES CO.,LTD
-AB-00  :HUAWEI TECHNOLOGIES CO.,LTD
-E0-FC  :HUAWEI TECHNOLOGIES CO.,LTD
-DF-6A  :HUAWEI TECHNOLOGIES CO.,LTD
-9A-CD  :HUAWEI TECHNOLOGIES CO.,LTD
-CD-FE  :Apple, Inc.
-F2-3E  :Microsoft Mobile Oy
-AC-78  :Cisco Systems, Inc
-7F-61  :Chicony Electronics Co., Ltd.
-BC-18  :SourcingOverseas Co. Ltd
-7A-BF  :HTC Corporation
-9F-87  :Jide Technology (Hong Kong) Limited
-5A-B4  :Google, Inc.
-1A-11  :Google, Inc.
-3C-69  :Shenzhen TINNO Mobile Technology Corp.
-AC-5F  :Qiku Internet Network Scientific (Shenzhen) Co., Ltd.
-AF-61  :Apple, Inc.
-83-A7  :SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
-03-47  :Intel Corporation
-11-75  :Intel Corporation
-13-E8  :Intel Corporate
-13-02  :Intel Corporate
-F8-9C  :Intel Corporate
-02-B9  :Intel Corporate
-34-88  :Intel Corporate
-0D-0B  :BUFFALO.INC
-07-40  :BUFFALO.INC
-24-A5  :BUFFALO.INC
-FB-02  :BUFFALO.INC
-CE-46  :Hewlett Packard
-1C-C4  :Hewlett Packard
-25-B3  :Hewlett Packard
-18-71  :Hewlett Packard
-0B-CD  :Hewlett Packard
-0E-7F  :Hewlett Packard
-0F-20  :Hewlett Packard
-11-0A  :Hewlett Packard
-13-21  :Hewlett Packard
-16-35  :Hewlett Packard
-17-A4  :Hewlett Packard
-08-02  :Hewlett Packard
-E7-C4  :HTC Corporation
-A7-8E  :zte corporation
-60-B0  :bioM̩rieux Italia S.p.A.
-38-BC  :HUAWEI TECHNOLOGIES CO.,LTD
-40-F0  :HUAWEI TECHNOLOGIES CO.,LTD
-A6-51  :HUAWEI TECHNOLOGIES CO.,LTD
-CD-2D  :HUAWEI TECHNOLOGIES CO.,LTD
-E2-15  :HUAWEI TECHNOLOGIES CO.,LTD
-23-3D  :HUAWEI TECHNOLOGIES CO.,LTD
-F5-FD  :HUAWEI TECHNOLOGIES CO.,LTD
-B6-86  :HUAWEI TECHNOLOGIES CO.,LTD
-C6-1F  :HUAWEI TECHNOLOGIES CO.,LTD
-53-D4  :HUAWEI TECHNOLOGIES CO.,LTD
-37-DC  :HUAWEI TECHNOLOGIES CO.,LTD
-76-70  :HUAWEI TECHNOLOGIES CO.,LTD
-DB-AC  :HUAWEI TECHNOLOGIES CO.,LTD
-3A-EA  :GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
-BB-A8  :GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
-21-E8  :Murata Manufacturing Co., Ltd.
-60-57  :Murata Manufacturing Co., Ltd.
-07-D8  :Hitron Technologies. Inc
-12-F2  :Brocade Communications Systems, Inc.
-1B-ED  :Brocade Communications Systems, Inc.
-24-38  :Brocade Communications Systems, Inc.
-74-2A  :zte corporation
-1A-B2  :zte corporation
-05-C5  :TP-LINK TECHNOLOGIES CO.,LTD.
-F3-C1  :TP-LINK TECHNOLOGIES CO.,LTD.
-21-0A  :TP-LINK TECHNOLOGIES CO.,LTD.
-17-2F  :TP-LINK TECHNOLOGIES CO.,LTD.
-88-8F  :TP-LINK TECHNOLOGIES CO.,LTD.
-CF-92  :TP-LINK TECHNOLOGIES CO.,LTD.
-56-01  :TP-LINK TECHNOLOGIES CO.,LTD.
-CC-20  :TP-LINK TECHNOLOGIES CO.,LTD.
-46-99  :TP-LINK TECHNOLOGIES CO.,LTD.
-45-BA  :HUAWEI TECHNOLOGIES CO.,LTD
-77-78  :Cochlear Limited
-53-D5  :Sysorex Global Holdings
-44-63  :Apple, Inc.
-72-E7  :Apple, Inc.
-A2-23  :HUAWEI TECHNOLOGIES CO.,LTD
-08-8B  :HUAWEI TECHNOLOGIES CO.,LTD
-E7-01  :HUAWEI TECHNOLOGIES CO.,LTD
-08-83  :Hewlett Packard
-34-6B  :Hewlett Packard
-DC-D4  :Hewlett Packard
-64-A9  :Hewlett Packard
-C9-EF  :Hewlett Packard
-5D-36  :Hewlett Packard
-D3-C1  :Hewlett Packard
-A8-F0  :Hewlett Packard
-3B-E5  :Hewlett Packard
-2E-5F  :Hewlett Packard
-92-4A  :Hewlett Packard
-60-4B  :Hewlett Packard
-8D-99  :Hewlett Packard
-30-C1  :Hewlett Packard
-3F-DB  :Hewlett Packard
-A1-61  :Rain Bird Corporation
-61-93  :HTC Corporation
-12-17  :Cisco-Linksys, LLC
-0C-41  :Cisco-Linksys, LLC
-0F-66  :Cisco-Linksys, LLC
-E0-8E  :Cisco SPVTG
-59-33  :Cisco SPVTG
-48-C7  :Cisco SPVTG
-76-7D  :Cisco SPVTG
-AB-A4  :Cisco SPVTG
-02-C7  :ALPS ELECTRIC CO.,LTD.
-76-6E  :ALPS ELECTRIC CO.,LTD.
-6B-8E  :Shanghai Feixun Communication Co.,Ltd.
-85-3D  :HUAWEI TECHNOLOGIES CO.,LTD
-88-2A  :HUAWEI TECHNOLOGIES CO.,LTD
-D7-52  :HUAWEI TECHNOLOGIES CO.,LTD
-24-7F  :HUAWEI TECHNOLOGIES CO.,LTD
-46-4B  :HUAWEI TECHNOLOGIES CO.,LTD
-7B-E8  :HUAWEI TECHNOLOGIES CO.,LTD
-89-98  :HUAWEI TECHNOLOGIES CO.,LTD
-19-A6  :HUAWEI TECHNOLOGIES CO.,LTD
-F8-08  :HUAWEI TECHNOLOGIES CO.,LTD
-15-13  :HUAWEI TECHNOLOGIES CO.,LTD
-31-52  :HUAWEI TECHNOLOGIES CO.,LTD
-D2-FC  :HUAWEI TECHNOLOGIES CO.,LTD
-03-DD  :Comark Interactive Solutions
-10-7B  :Cisco Systems, Inc
-90-6D  :Cisco Systems, Inc
-90-BF  :Cisco Systems, Inc
-50-80  :Cisco Systems, Inc
-E0-18  :ASUSTek COMPUTER INC.
-0C-6E  :ASUSTek COMPUTER INC.
-1B-FC  :ASUSTek COMPUTER INC.
-1E-8C  :ASUSTek COMPUTER INC.
-15-F2  :ASUSTek COMPUTER INC.
-23-54  :ASUSTek COMPUTER INC.
-1F-C6  :ASUSTek COMPUTER INC.
-18-2E  :ShenZhen Protruly Electronic Ltd co.
-CF-E2  :Cisco Systems, Inc
-1C-BF  :Cisco Systems, Inc
-5F-DB  :HUAWEI TECHNOLOGIES CO.,LTD
-4D-8E  :HUAWEI TECHNOLOGIES CO.,LTD
-1D-BA  :HUAWEI TECHNOLOGIES CO.,LTD
-1E-10  :HUAWEI TECHNOLOGIES CO.,LTD
-AD-AA  :Avaya Inc
-CD-AE  :Avaya Inc
-CD-22  :Avaya Inc
-A8-41  :Avaya Inc
-B1-5B  :Avaya Inc
-F4-06  :Avaya Inc
-F4-C5  :Avaya Inc
-38-EE  :Avaya Inc
-F0-31  :Cisco Systems, Inc
-87-89  :Cisco Systems, Inc
-1C-1A  :Cisco Systems, Inc
-0F-1B  :Cisco Systems, Inc
-67-1C  :Cisco Systems, Inc
-EC-F9  :Cisco Systems, Inc
-6D-50  :Cisco Systems, Inc
-E8-5D  :Cisco Systems, Inc
-72-95  :Cisco Systems, Inc
-55-4F  :Cisco Systems, Inc
